instance_id,type,region,pricing_model,uptime_hours,cpu_avg,price_per_hour,total_cost,energy_kwh,co2_kg,co2_cost
i-sim-001,c6a.xlarge,ap-southeast-1,on_demand,276,39.61,0.153,42.23,25.36,13.19,1.06
i-sim-002,t3.micro,us-east-1,spot,78,24.32,0.0046,0.36,2.91,1.14,0.09
i-sim-003,c6a.xlarge,eu-central-1,on_demand,89,82.06,0.153,13.62,9.31,3.73,0.3
i-sim-004,r5.2xlarge,eu-central-1,on_demand,107,57.5,0.504,53.93,14.69,5.89,0.47
i-sim-005,t3.micro,eu-central-1,on_demand,72,37.1,0.0116,0.84,2.96,1.19,0.1
i-sim-006,m5.large,us-east-1,spot,186,63.08,0.0384,7.14,14.68,5.77,0.46
i-sim-007,r5.2xlarge,ap-southeast-1,reserved,81,25.67,0.3528,28.58,10.34,5.38,0.43
i-sim-008,r5.2xlarge,eu-west-3,spot,293,76.43,0.2016,59.07,41.88,0.8,0.06
i-sim-009,m5.large,eu-west-3,reserved,278,10.27,0.0672,18.68,17.54,0.33,0.03
i-sim-010,t3.small,eu-central-1,on_demand,112,58.43,0.023,2.58,6.44,2.58,0.21
i-sim-011,t3.micro,ap-southeast-1,reserved,162,17.63,0.0081,1.31,5.72,2.97,0.24
i-sim-012,t3.micro,eu-central-1,reserved,232,60.53,0.0081,1.88,11.17,4.48,0.36
i-sim-013,m5.large,ap-southeast-1,spot,204,9.73,0.0384,7.83,12.84,6.68,0.53
i-sim-014,t3.small,ap-southeast-1,on_demand,124,38.56,0.023,2.85,6.39,3.32,0.27
i-sim-015,t3.micro,eu-central-1,on_demand,272,71.45,0.0116,3.16,13.99,5.61,0.45
i-sim-016,m5.large,eu-west-3,spot,97,88.21,0.0384,3.72,8.39,0.16,0.01
i-sim-017,t3.small,ap-southeast-1,reserved,133,47.84,0.0161,2.14,7.23,3.76,0.3
i-sim-018,t3.micro,eu-west-3,spot,238,55.18,0.0046,1.09,11.08,0.21,0.02
i-sim-019,t3.micro,ap-southeast-1,spot,170,63.32,0.0046,0.78,8.33,4.33,0.35
i-sim-020,r5.2xlarge,us-east-1,spot,25,32.92,0.2016,5.04,3.25,1.28,0.1
i-sim-021,r5.2xlarge,ap-southeast-1,reserved,257,55.35,0.3528,90.67,35.11,18.26,1.46
i-sim-022,r5.2xlarge,eu-west-3,spot,220,86.41,0.2016,44.35,32.1,0.61,0.05
i-sim-023,r5.2xlarge,us-east-1,spot,50,56.42,0.2016,10.08,6.85,2.69,0.22
i-sim-024,c6a.xlarge,ap-southeast-1,spot,205,67.64,0.0612,12.55,20.56,10.69,0.86
i-sim-025,r5.2xlarge,ap-southeast-1,on_demand,47,89.32,0.504,23.69,6.9,3.59,0.29
i-sim-026,t3.micro,eu-west-3,spot,181,82.2,0.0046,0.83,9.89,0.19,0.02
i-sim-027,m5.large,ap-southeast-1,reserved,215,24.61,0.0672,14.45,14.49,7.53,0.6
i-sim-028,t3.small,eu-central-1,reserved,183,62.28,0.0161,2.95,10.74,4.31,0.34
i-sim-029,r5.2xlarge,eu-west-3,on_demand,83,81.73,0.504,41.83,12.0,0.23,0.02
i-sim-030,r5.2xlarge,ap-southeast-1,on_demand,233,74.03,0.504,117.43,33.13,17.23,1.38
i-sim-031,m5.large,us-east-1,on_demand,218,57.31,0.096,20.93,16.83,6.61,0.53
i-sim-032,t3.micro,eu-central-1,on_demand,81,38.41,0.0116,0.94,3.36,1.35,0.11
i-sim-033,c6a.xlarge,ap-southeast-1,on_demand,136,21.18,0.153,20.81,11.74,6.1,0.49
i-sim-034,c6a.xlarge,us-east-1,on_demand,242,89.97,0.153,37.03,25.89,10.17,0.81
i-sim-035,c6a.xlarge,ap-southeast-1,reserved,187,32.1,0.1071,20.03,16.76,8.72,0.7
i-sim-036,m5.large,eu-central-1,reserved,257,36.69,0.0672,17.27,18.25,7.32,0.59
i-sim-037,t3.micro,ap-southeast-1,spot,186,18.37,0.0046,0.86,6.6,3.43,0.27
i-sim-038,r5.2xlarge,eu-west-3,on_demand,23,63.9,0.504,11.59,3.2,0.06,0.0
i-sim-039,r5.2xlarge,ap-southeast-1,reserved,233,69.99,0.3528,82.2,32.85,17.08,1.37
i-sim-040,m5.large,ap-southeast-1,spot,248,67.14,0.0384,9.52,19.87,10.33,0.83
i-sim-041,t3.small,eu-central-1,reserved,21,14.72,0.0161,0.34,0.93,0.37,0.03
i-sim-042,m5.large,us-east-1,on_demand,25,26.02,0.096,2.4,1.7,0.67,0.05
i-sim-043,m5.large,eu-central-1,spot,117,57.78,0.0384,4.49,9.05,3.63,0.29
i-sim-044,m5.large,eu-west-3,spot,161,35.74,0.0384,6.18,11.39,0.22,0.02
i-sim-045,t3.small,ap-southeast-1,reserved,48,54.38,0.0161,0.77,2.7,1.4,0.11
i-sim-046,m5.large,eu-west-3,spot,249,52.75,0.0384,9.56,18.88,0.36,0.03
i-sim-047,c6a.xlarge,us-east-1,reserved,280,20.15,0.1071,29.99,24.09,9.47,0.76
i-sim-048,c6a.xlarge,us-east-1,reserved,61,53.5,0.1071,6.53,5.86,2.3,0.18
i-sim-049,m5.large,ap-southeast-1,reserved,260,39.63,0.0672,17.47,18.69,9.72,0.78
i-sim-050,t3.micro,eu-central-1,on_demand,275,76.16,0.0116,3.19,14.53,5.83,0.47
