instance_id,type,region,pricing_model,uptime_hours,cpu_avg,price_per_hour,total_cost,energy_kwh,co2_kg,co2_cost
i-sim-001,r5.2xlarge,us-east-1,spot,115,86.69,0.2016,23.18,16.79,6.6,0.66
i-sim-002,t3.small,eu-west-3,on_demand,126,11.96,0.023,2.9,5.49,0.1,0.01
i-sim-003,r5.2xlarge,eu-central-1,on_demand,79,32.71,0.504,39.82,10.25,4.11,0.41
i-sim-004,c6a.xlarge,eu-west-3,spot,248,53.89,0.0612,15.18,23.85,0.45,0.05
i-sim-005,r5.2xlarge,eu-central-1,on_demand,52,53.43,0.504,26.21,7.07,2.84,0.28
i-sim-006,r5.2xlarge,eu-west-3,spot,84,7.54,0.2016,16.93,10.27,0.2,0.02
i-sim-007,m5.large,us-east-1,on_demand,162,13.55,0.096,15.55,10.38,4.08,0.41
i-sim-008,t3.micro,eu-west-3,on_demand,209,51.34,0.0116,2.42,9.49,0.18,0.02
i-sim-009,t3.small,us-east-1,reserved,90,37.64,0.0161,1.45,4.62,1.82,0.18
i-sim-010,m5.large,ap-southeast-1,on_demand,226,59.71,0.096,21.7,17.61,9.16,0.92
i-sim-011,r5.2xlarge,eu-west-3,on_demand,283,87.32,0.504,142.63,41.37,0.79,0.08
i-sim-012,c6a.xlarge,ap-southeast-1,reserved,141,22.61,0.1071,15.1,12.24,6.36,0.64
i-sim-013,r5.2xlarge,eu-central-1,reserved,36,59.62,0.3528,12.7,4.96,1.99,0.2
i-sim-014,t3.small,eu-central-1,reserved,156,79.57,0.0161,2.51,9.96,3.99,0.4
i-sim-015,r5.2xlarge,ap-southeast-1,reserved,272,37.38,0.3528,95.96,35.69,18.56,1.86
i-sim-016,t3.micro,eu-central-1,reserved,136,12.56,0.0081,1.1,4.59,1.84,0.18
i-sim-017,c6a.xlarge,us-east-1,spot,22,20.98,0.0612,1.35,1.9,0.75,0.08
i-sim-018,c6a.xlarge,ap-southeast-1,reserved,183,88.46,0.1071,19.6,19.5,10.14,1.01
i-sim-019,c6a.xlarge,ap-southeast-1,spot,33,27.75,0.0612,2.02,2.91,1.51,0.15
i-sim-020,c6a.xlarge,eu-west-3,reserved,225,70.14,0.1071,24.1,22.73,0.43,0.04
i-sim-021,m5.large,eu-central-1,reserved,155,12.55,0.0672,10.42,9.88,3.96,0.4
i-sim-022,t3.micro,eu-west-3,spot,92,50.31,0.0046,0.42,4.15,0.08,0.01
i-sim-023,c6a.xlarge,us-east-1,on_demand,269,49.94,0.153,41.16,25.55,10.04,1.0
i-sim-024,c6a.xlarge,ap-southeast-1,reserved,184,42.73,0.1071,19.71,17.08,8.88,0.89
i-sim-025,m5.large,eu-west-3,on_demand,140,63.23,0.096,13.44,11.06,0.21,0.02
i-sim-026,r5.2xlarge,ap-southeast-1,on_demand,164,37.9,0.504,82.66,21.54,11.2,1.12
i-sim-027,r5.2xlarge,us-east-1,on_demand,27,23.51,0.504,13.61,3.43,1.35,0.14
i-sim-028,t3.micro,eu-west-3,spot,160,78.34,0.0046,0.74,8.56,0.16,0.02
i-sim-029,c6a.xlarge,ap-southeast-1,on_demand,206,87.75,0.153,31.52,21.9,11.39,1.14
i-sim-030,r5.2xlarge,ap-southeast-1,reserved,163,62.7,0.3528,57.51,22.63,11.77,1.18
i-sim-031,m5.large,ap-southeast-1,reserved,232,56.36,0.0672,15.59,17.84,9.28,0.93
i-sim-032,t3.small,eu-central-1,reserved,91,87.75,0.0161,1.47,6.04,2.42,0.24
i-sim-033,t3.micro,ap-southeast-1,reserved,255,8.05,0.0081,2.07,8.26,4.3,0.43
i-sim-034,r5.2xlarge,eu-west-3,reserved,287,17.8,0.3528,101.25,35.97,0.68,0.07
i-sim-035,c6a.xlarge,eu-west-3,spot,253,86.51,0.0612,15.48,26.81,0.51,0.05
i-sim-036,t3.micro,ap-southeast-1,spot,33,72.89,0.0046,0.15,1.71,0.89,0.09
i-sim-037,t3.small,eu-west-3,spot,110,52.32,0.0092,1.01,6.13,0.12,0.01
i-sim-038,m5.large,eu-central-1,on_demand,71,65.66,0.096,6.82,5.66,2.27,0.23
i-sim-039,c6a.xlarge,ap-southeast-1,reserved,256,22.3,0.1071,27.42,22.19,11.54,1.15
i-sim-040,c6a.xlarge,ap-southeast-1,on_demand,30,49.86,0.153,4.59,2.85,1.48,0.15
i-sim-041,t3.micro,ap-southeast-1,spot,118,38.59,0.0046,0.54,4.91,2.55,0.26
i-sim-042,t3.small,eu-west-3,spot,193,87.98,0.0092,1.78,12.81,0.24,0.02
i-sim-043,m5.large,eu-west-3,spot,153,87.21,0.0384,5.88,13.18,0.25,0.03
i-sim-044,c6a.xlarge,eu-west-3,spot,162,11.94,0.0612,9.91,13.54,0.26,0.03
i-sim-045,m5.large,ap-southeast-1,on_demand,173,56.07,0.096,16.61,13.29,6.91,0.69
i-sim-046,c6a.xlarge,eu-central-1,reserved,72,85.09,0.1071,7.71,7.6,3.05,0.3
i-sim-047,t3.micro,ap-southeast-1,on_demand,247,74.19,0.0116,2.87,12.91,6.71,0.67
i-sim-048,r5.2xlarge,eu-central-1,spot,274,68.44,0.2016,55.24,38.51,15.44,1.54
i-sim-049,m5.large,ap-southeast-1,on_demand,245,21.55,0.096,23.52,16.29,8.47,0.85
i-sim-050,m5.large,ap-southeast-1,spot,247,82.43,0.0384,9.48,20.93,10.88,1.09
i-sim-051,m5.large,eu-central-1,on_demand,30,34.73,0.096,2.88,2.11,0.85,0.09
i-sim-052,r5.2xlarge,ap-southeast-1,reserved,202,53.34,0.3528,71.27,27.47,14.28,1.43
i-sim-053,m5.large,eu-west-3,reserved,290,76.95,0.0672,19.49,24.1,0.46,0.05
i-sim-054,c6a.xlarge,eu-west-3,reserved,241,61.4,0.1071,25.81,23.72,0.45,0.05
i-sim-055,r5.2xlarge,us-east-1,on_demand,39,72.74,0.504,19.66,5.53,2.17,0.22
i-sim-056,r5.2xlarge,eu-west-3,on_demand,61,51.02,0.504,30.74,8.25,0.16,0.02
i-sim-057,c6a.xlarge,eu-west-3,reserved,102,9.44,0.1071,10.92,8.45,0.16,0.02
i-sim-058,m5.large,eu-central-1,reserved,129,13.44,0.0672,8.67,8.26,3.31,0.33
i-sim-059,c6a.xlarge,ap-southeast-1,on_demand,203,50.58,0.153,31.06,19.32,10.05,1.01
i-sim-060,t3.micro,us-east-1,on_demand,59,11.53,0.0116,0.68,1.97,0.77,0.08
i-sim-061,t3.micro,ap-southeast-1,reserved,178,61.51,0.0081,1.44,8.62,4.48,0.45
i-sim-062,m5.large,us-east-1,reserved,137,34.99,0.0672,9.21,9.66,3.8,0.38
i-sim-063,r5.2xlarge,us-east-1,on_demand,145,22.03,0.504,73.08,18.36,7.22,0.72
i-sim-064,t3.micro,eu-west-3,on_demand,216,84.12,0.0116,2.51,11.93,0.23,0.02
i-sim-065,c6a.xlarge,us-east-1,reserved,282,38.29,0.1071,30.2,25.8,10.14,1.01
i-sim-066,m5.large,eu-central-1,reserved,194,44.05,0.0672,13.04,14.2,5.69,0.57
i-sim-067,m5.large,ap-southeast-1,on_demand,80,82.12,0.096,7.68,6.77,3.52,0.35
i-sim-068,t3.small,eu-west-3,reserved,50,8.33,0.0161,0.8,2.12,0.04,0.0
i-sim-069,c6a.xlarge,ap-southeast-1,reserved,249,23.58,0.1071,26.67,21.68,11.27,1.13
i-sim-070,t3.micro,eu-central-1,spot,291,33.69,0.0046,1.34,11.67,4.68,0.47
i-sim-071,r5.2xlarge,ap-southeast-1,on_demand,160,37.88,0.504,80.64,21.02,10.93,1.09
i-sim-072,t3.small,ap-southeast-1,on_demand,114,73.62,0.023,2.62,7.08,3.68,0.37
i-sim-073,m5.large,eu-west-3,reserved,87,79.03,0.0672,5.85,7.28,0.14,0.01
i-sim-074,r5.2xlarge,eu-central-1,on_demand,226,43.77,0.504,113.9,30.09,12.07,1.21
i-sim-075,m5.large,eu-central-1,spot,163,52.28,0.0384,6.26,12.34,4.95,0.5
i-sim-076,t3.small,eu-central-1,spot,248,37.42,0.0092,2.28,12.71,5.1,0.51
i-sim-077,t3.micro,ap-southeast-1,spot,299,30.08,0.0046,1.38,11.67,6.07,0.61
i-sim-078,c6a.xlarge,ap-southeast-1,reserved,211,27.66,0.1071,22.6,18.63,9.69,0.97
i-sim-079,t3.micro,eu-west-3,reserved,293,33.46,0.0081,2.37,11.73,0.22,0.02
i-sim-080,t3.micro,ap-southeast-1,spot,171,55.64,0.0046,0.79,7.98,4.15,0.42
i-sim-081,c6a.xlarge,eu-central-1,on_demand,300,72.28,0.153,45.9,30.5,12.23,1.22
i-sim-082,t3.small,eu-central-1,spot,221,15.55,0.0092,2.03,9.87,3.96,0.4
i-sim-083,t3.small,us-east-1,on_demand,280,44.97,0.023,6.44,14.98,5.89,0.59
i-sim-084,t3.micro,eu-central-1,on_demand,250,38.99,0.0116,2.9,10.43,4.18,0.42
i-sim-085,c6a.xlarge,us-east-1,on_demand,104,12.89,0.153,15.91,8.72,3.43,0.34
i-sim-086,t3.micro,eu-central-1,reserved,231,67.57,0.0081,1.87,11.61,4.66,0.47
i-sim-087,t3.small,eu-central-1,reserved,135,32.45,0.0161,2.17,6.71,2.69,0.27
i-sim-088,t3.small,eu-west-3,on_demand,282,74.03,0.023,6.49,17.54,0.33,0.03
i-sim-089,t3.micro,us-east-1,spot,247,17.46,0.0046,1.14,8.7,3.42,0.34
i-sim-090,c6a.xlarge,ap-southeast-1,spot,157,17.25,0.0612,9.61,13.37,6.95,0.7
i-sim-091,c6a.xlarge,eu-west-3,reserved,224,46.44,0.1071,23.99,21.04,0.4,0.04
i-sim-092,c6a.xlarge,eu-central-1,spot,140,43.74,0.0612,8.57,13.04,5.23,0.52
i-sim-093,c6a.xlarge,eu-west-3,on_demand,277,17.75,0.153,42.38,23.64,0.45,0.05
i-sim-094,t3.small,eu-central-1,reserved,112,41.89,0.0161,1.8,5.89,2.36,0.24
i-sim-095,r5.2xlarge,us-east-1,on_demand,225,47.1,0.504,113.4,30.18,11.86,1.19
i-sim-096,t3.micro,eu-central-1,spot,207,23.18,0.0046,0.95,7.65,3.07,0.31
i-sim-097,t3.micro,us-east-1,spot,142,19.59,0.0046,0.65,5.09,2.0,0.2
i-sim-098,t3.small,eu-west-3,reserved,80,41.76,0.0161,1.29,4.2,0.08,0.01
i-sim-099,r5.2xlarge,us-east-1,reserved,123,21.0,0.3528,43.39,15.53,6.1,0.61
i-sim-100,m5.large,eu-central-1,spot,248,60.53,0.0384,9.52,19.38,7.77,0.78
